id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness,popularity,release_decade,mood_tag,instrumentalness,liveness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18,78,2020s,euphoric,0.05,0.12
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71,45,2020s,nostalgic,0.65,0.08
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10,62,2010s,aggressive,0.15,0.35
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86,38,2020s,nostalgic,0.72,0.05
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05,85,2020s,aggressive,0.03,0.22
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92,29,2010s,dreamy,0.88,0.04
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89,41,2000s,nostalgic,0.40,0.55
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22,58,2010s,dreamy,0.30,0.10
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78,52,2020s,dreamy,0.70,0.06
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35,67,2020s,euphoric,0.08,0.18
11,Golden Hour,Ava Lune,r&b,romantic,0.55,96,0.78,0.70,0.42,72,2020s,nostalgic,0.10,0.15
12,Bass Cathedral,DJ Kroma,electronic,energetic,0.95,140,0.72,0.91,0.03,80,2020s,euphoric,0.55,0.42
13,Autumn Letters,The Willows,folk,melancholy,0.30,84,0.35,0.38,0.94,25,2010s,nostalgic,0.20,0.60
14,Street Cipher,Lex Vega,hip-hop,intense,0.88,105,0.62,0.85,0.08,76,2020s,aggressive,0.02,0.30
15,Velvet Nocturne,Clara Strings,classical,relaxed,0.22,66,0.58,0.30,0.97,18,1990s,dreamy,0.95,0.70
16,Fuego Lento,Sol Ramirez,latin,happy,0.80,108,0.86,0.90,0.28,70,2020s,euphoric,0.04,0.25
17,Iron Lung,Shattered Oath,metal,angry,0.97,170,0.30,0.55,0.06,55,2010s,aggressive,0.12,0.65
18,Neon Puddles,Rain Delay,indie pop,melancholy,0.48,100,0.40,0.52,0.60,33,2020s,nostalgic,0.15,0.09
19,Cloud Nine,Ava Lune,r&b,happy,0.68,112,0.82,0.76,0.33,74,2020s,euphoric,0.06,0.14
20,Still Water,Paper Lanterns,ambient,focused,0.25,58,0.52,0.35,0.90,20,2010s,dreamy,0.90,0.03
